state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Nevada,,,Adopted,32,2014,2805532,1399782,110224,100170,228795,206773,127433,95679,198446,137157,189132,143007,191051,156167,167373,144642,1405750,102347,94560,220268,196399,124040,102662,197549,153460,187497,149626,189141,157359,176221,152242,235613,21664,20414,41813,38464,25121,19770,36775,27600,32043,25800,30030,24556,24169,21704,1911802,126771,117065,278792,254110,152085,124386,255764,194142,250306,196121,266475,224720,259320,225789,44215,68343,13368,17592,15522,15690,18197,42028,66220,18284,31432,21967,17512,21392,,,,,,,,,,
New Hampshire,,,Adopted,33,2014,1311921,645208,40258,38374,95591,92329,64622,53133,75451,59373,78050,67789,102704,88628,97031,88927,666713,38575,37131,92409,87298,62383,55466,76793,64211,79964,71498,106167,95726,100379,90866,16057,1321,1266,2902,2301,2223,1604,3111,2837,2438,1880,2140,1919,1135,990,1226848,68849,66130,170800,164246,115946,99555,139357,112697,144451,127428,198929,176278,190904,174325,12953,24385,3873,5347,4467,4931,4079,14005,23565,4860,10201,5470,6329,5238,,,,,,,,,,
New Jersey,,,Adopted,34,2014,8830969,4291313,326459,317122,697585,662205,401754,328099,559996,412990,569780,463065,642645,555241,548526,492329,4539656,313486,302951,669832,633242,386011,324955,567378,468450,592787,509836,684819,602775,597802,536855,1173931,95763,92670,200857,191274,129076,104288,158850,126133,158230,128931,172918,146952,133001,117511,5992768,376707,367668,871660,832391,499604,432576,694367,559850,726984,629655,935847,841695,864642,794800,117610,198545,42669,45857,46519,52294,46895,114949,189222,56681,88981,75272,72462,59301,,,,,,,,,,
New Mexico,,,Adopted,35,2014,2050369,1005401,84086,79898,169869,156932,106112,76638,132087,95713,118408,88287,125699,102217,127097,109745,1044968,79315,74618,165410,150830,99048,78189,133023,103165,121572,95465,134702,109655,140778,123535,39587,2878,2821,6019,5963,5621,3730,6116,4905,4850,4454,4296,4135,4941,4637,1499697,110368,105546,225475,208606,137435,110399,184752,143924,170852,136292,192758,162536,213436,189527,52655,89221,19487,24921,21285,20591,18652,47758,88864,28566,36415,29645,23579,22860,,,,,,,,,,
New York,,,Adopted,36,2014,19499548,9416424,722600,700530,1427418,1378240,971602,831578,1381083,1094486,1204678,1002834,1334593,1178057,1180803,1082887,10083124,687315,667104,1379745,1333679,978481,879574,1426778,1228232,1276294,1139013,1429144,1302043,1302214,1215052,3020277,242401,233959,482348,466322,344629,296704,439346,364074,382276,330671,431073,380708,351540,318976,12493354,784733,762288,1663536,1612234,1147170,1045139,1672170,1443196,1510553,1357034,1830707,1696521,1758176,1657077,334219,558669,213481,246527,195365,214169,196776,309161,529361,255154,348039,280531,275237,247503,,,,,,,,,,
North Carolina,,,Adopted,37,2014,9752148,4695371,372878,358244,796227,750550,471924,364791,587020,410534,620874,477420,648611,531585,577591,512569,5056777,359039,344739,758521,714054,474326,380875,644628,502581,671954,548821,695968,590966,652312,576909,2098888,163963,158979,375522,359336,244225,185265,271225,196614,279618,224411,283844,228268,253955,221163,6749088,444091,426090,973308,920955,600331,489249,812760,626949,877718,715132,969195,829816,920160,825012,180921,321812,56451,42151,44794,48802,55337,173367,303484,80906,87510,73206,64474,66618,,,,,,,,,,
North Dakota,,,Adopted,38,2014,724451,367016,30443,28012,53855,49123,47450,43479,56185,48530,41447,36189,45459,39693,46704,43445,357435,29687,28700,53206,49814,42200,37615,49355,43642,38938,35838,45275,42047,45355,42865,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,641669,48941,46561,88752,82933,78246,72112,90164,81082,72059,65110,81210,75426,86684,82191,8610,10728,1587,5251,2507,2109,2203,9667,11261,4834,6763,3103,3173,3000,,,,,,,,,,
Ohio,,,Adopted,39,2014,11420809,5570132,426083,405723,922145,878754,544666,458605,708376,570292,684890,581644,771312,687855,754402,693378,5850677,403486,384837,879767,836028,541318,479407,728495,645646,709998,641948,810278,733391,807402,749698,1374954,125320,121197,252450,242947,161365,130090,178529,142883,172459,141229,176477,151357,161983,146514,9401740,615593,583973,1391881,1321683,845581,743442,1156577,991179,1138219,1010659,1349544,1222448,1356264,1257689,183090,323987,68008,93175,84339,83532,73342,175094,306612,115477,185935,135331,108583,96883,,,,,,,,,,
Oklahoma,,,Adopted,40,2014,3797966,1861782,163928,152695,325072,294239,193340,137998,249653,176823,226406,174777,237391,188461,225210,196151,1936184,154745,144113,306378,276825,190769,144232,259556,197529,234952,185217,244071,197072,243696,208398,274174,26130,25182,51761,48574,36653,26177,39179,27450,32047,24588,33857,26621,31058,26615,2774307,202781,191702,405953,376734,254787,198169,364047,280693,336210,272763,368637,304956,376284,331553,80294,123331,17750,15529,14466,15891,16660,74349,118842,29929,33484,23358,20291,22320,,,,,,,,,,
Oregon,,,Adopted,41,2014,3931306,1935976,139655,133217,298233,284467,183065,152655,263159,198835,258960,219991,248420,214798,260456,234620,1995330,136383,130863,282813,269504,177722,154896,268639,225707,255994,225546,254556,224833,278656,256872,68639,6186,5674,12297,12160,8746,7724,10495,8810,9685,8319,7978,6934,7443,6889,3328278,215223,206252,451608,433640,285496,245197,439221,356080,424655,373505,437457,387767,489616,447848,69111,112815,36539,45950,43593,38832,38199,69116,107682,43369,67955,51922,45363,46953,,,,,,,,,,
Pennsylvania,,,Adopted,42,2014,12582815,6116546,434886,411554,939918,892708,605175,518008,791342,627267,732321,625994,870627,777245,850383,787557,6466269,415195,393584,903075,856111,602004,532433,809300,697080,758002,678353,910903,829113,903802,844948,1353341,118504,111019,247352,238487,163593,130514,189759,141952,165707,134500,176108,152497,152142,135771,10281221,618182,585221,1392285,1319989,923925,821834,1259093,1066552,1194421,1063836,1504802,1369767,1529995,1435894,166488,321169,74024,72059,66815,85470,83027,163621,302732,103956,138176,107367,104990,95166,,,,,,,,,,
Rhode Island,,,Adopted,44,2014,1039789,501590,34168,33076,74917,72831,57080,49252,67437,53241,60599,52522,72582,66011,67024,62080,538199,31517,30855,71669,68402,58848,53756,68042,59973,63755,57565,78715,73603,73473,70437,69183,6829,6517,15007,13956,8260,6862,11189,8573,9817,8491,7671,6737,6113,5612,845981,46724,45563,108687,105841,88066,80637,104550,90145,97568,89048,128074,119413,125462,119464,14823,27608,8506,11875,7866,10133,9676,15408,24259,11466,18868,12483,15420,12466,,,,,,,,,,
South Carolina,,,Not Adopted,45,2014,4733742,2275724,180929,173284,370227,346729,233218,178125,281789,193552,282283,210919,303418,252356,292565,256337,2458018,168377,161431,361246,339352,228959,184259,311696,236464,307317,248758,333608,279070,333783,290631,1284452,104317,101337,223846,216324,150243,110201,169685,118703,157419,122740,169327,134108,161911,136129,3198671,209953,199761,442924,412277,284518,233920,390470,292130,399300,316574,442119,378164,447796,398008,95635,159803,26030,22464,22778,25495,32703,86671,153840,42544,53812,35835,35267,38631,,,,,,,,,,
South Dakota,,,Adopted,46,2014,835403,416541,36469,34527,70645,66815,41807,33228,54941,42042,48624,42120,52501,46718,55048,50711,418862,34761,32820,67711,63512,42146,35046,53126,45629,46697,40826,52577,46488,55695,50928,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,711661,52474,50116,106826,102179,67893,59770,89784,76464,80994,73555,93906,85849,102835,96249,14342,18255,3800,3394,2630,3060,3485,12604,20069,5097,6472,3499,2937,4173,,,,,,,,,,
Tennessee,,,Not Adopted,47,2014,6448737,3120169,246145,236640,514474,484886,308319,245499,400603,286327,403936,317751,426418,354694,396329,351538,3328568,235386,225103,493615,465378,312233,262451,431134,353888,425605,356800,455384,384915,441076,392299,1076371,96910,94343,194617,186784,130913,103753,151474,116314,139870,112596,138614,112164,126298,110795,5017804,336520,322534,728931,688669,450402,376318,623714,490514,640528,530534,711062,603810,687629,613695,124201,198637,40139,43810,36760,41484,44112,109999,185537,65077,89022,70171,55757,53989,,,,,,,,,,
Texas,,,Not Adopted,48,2014,26485838,13015571,1202317,1104159,2426735,2134344,1354159,900421,1876129,1241040,1744587,1260985,1664252,1290049,1408732,1189343,13470267,1142972,1043139,2334703,2041147,1321405,929726,1906216,1348040,1832708,1352112,1738731,1370739,1520075,1279938,3125453,273841,255657,592050,551804,359140,260536,459166,326233,431795,335613,408778,339694,335808,291470,19949166,1703897,1557049,3474276,3026154,1945843,1331033,2769926,1897088,2633164,1918081,2582906,2025874,2317080,1963164,557233,895232,115617,97987,92451,116129,116313,527201,851221,169770,181208,150246,136050,152287,,,,,,,,,,
Utah,,,Adopted,49,2014,2916303,1459342,155909,144330,308460,277725,163265,133137,215354,169175,194444,159448,152267,129549,135292,120626,1456961,147096,133511,290846,261977,165234,138158,214222,175401,188976,161838,153234,131068,140527,125668,32725,2254,2217,9147,8724,4647,3262,4522,3800,5178,3708,3183,2739,2407,1779,2545846,256743,237875,504852,463107,280559,239112,371674,306458,333121,286912,270181,236556,252537,228098,37575,53311,7694,12292,10355,8477,6939,33382,51077,13640,18378,13195,8831,10264,,,,,,,,,,
Vermont,,,Adopted,50,2014,620453,305019,19369,19026,43551,42856,33907,31797,35539,28938,34813,31812,43486,40527,46585,44490,315434,18207,17527,40345,39423,32364,30315,36654,33939,36728,35044,46206,43896,49568,47149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,586376,33992,33018,76944,75500,61712,58273,66638,58234,67147,62909,87065,81894,92801,88339,11174,20022,5420,7195,7252,8616,8190,8645,18544,7895,12727,10457,9975,9374,,,,,,,,,,
Virginia,,,Adopted,51,2014,8114884,3925716,313579,300284,636730,595077,386624,311778,541578,420469,506595,418971,555454,483314,491342,443727,4189168,297086,283751,617343,578524,397469,334881,568073,472414,548904,474138,595013,517981,538596,487756,1539625,122661,116159,260797,245803,174771,136203,215517,162707,192807,159293,216595,179935,188168,162332,5605274,378651,365405,795246,747642,508345,432965,737741,610570,711207,610029,821621,729063,764141,705380,97714,159803,26092,21602,23044,24510,26120,95770,156029,38149,54305,36461,33847,30254,,,,,,,,,,
Washington,,,Adopted,53,2014,6954806,3449189,272735,261698,546107,518025,333559,268674,493795,394150,451383,382572,465547,415214,443482,407779,3505617,263090,252281,519097,494098,319623,275618,485521,417110,455680,404230,470330,425666,463543,430915,240977,21165,20414,40834,38988,27287,21565,37116,30909,34899,31168,33638,31094,26721,25437,5407476,370945,356185,761128,726371,468736,398309,729283,613132,686526,600417,757250,684234,773066,719828,111291,190812,48805,65439,46942,49602,48166,106524,180263,61011,90136,63428,61755,62499,,,,,,,,,,
West Virginia,,,Adopted,54,2014,1820836,896037,60822,59680,135380,131852,86510,70939,105918,79491,110608,92612,122248,108220,129805,120391,924799,62115,60130,123908,119126,82318,72404,106457,90904,111898,101745,125753,111695,137163,125848,62764,4995,4995,9997,9974,9510,8183,8755,6740,6985,5359,7173,6724,6747,6403,1708997,109417,106876,236642,228924,153364,130474,196234,158090,211646,185606,237077,210007,256649,236558,32638,61734,16045,21406,21781,21261,21881,33759,54974,22587,33515,29190,24338,24470,,,,,,,,,,
Wisconsin,,,Not Adopted,55,2014,5684725,2809099,208118,199280,454248,433852,278904,238623,361126,297657,341393,297821,401527,370035,383065,358157,2875626,199693,191418,435733,415631,274194,242354,357932,319042,341311,311713,409298,380683,391722,367125,347775,34710,33817,78143,75805,43062,32475,50847,39907,42145,34850,42067,35499,33072,30084,4914866,315615,303189,707309,677771,453400,404735,600414,525369,585077,530664,729335,682097,718931,676037,79917,144891,29284,41399,36837,40399,36522,79394,133702,43597,78585,55293,45606,41151,,,,,,,,,,
Wyoming,,,Not Adopted,56,2014,574798,290966,22546,20926,47592,45833,28844,23395,42319,33164,35847,28872,35870,30659,41144,36421,283832,23129,21608,44029,40792,26445,22519,39279,31318,34270,28952,35628,29345,39816,34836,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,523631,40603,38131,80100,76182,48983,41198,73572,58027,63539,53127,66468,56285,75968,67197,7612,12557,1942,2168,1298,1861,2814,7367,10191,3201,3272,3087,2112,3313,,,,,,,,,,
Puerto Rico,,,,72,2014,3521353,1683312,116968,113966,285701,275473,189039,171516,200682,168338,215727,187673,214504,191452,196548,180846,1838041,105422,102970,263993,253453,181444,172080,224012,206897,237145,223522,244450,227955,235333,222707,297090,12453,12275,39153,37546,33148,29333,34234,28135,40463,35246,42447,37799,41635,38817,2503952,164857,160371,383528,367938,255146,237739,294411,263133,313665,287562,320418,295298,311602,292503,78401,173336,97923,92830,90896,86019,81233,72240,158972,100352,124213,114937,104612,103872,,,,,,,,,,
