state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Tennessee,,,Not Adopted,47,2018,6667784,3231469,248143,238104,572889,542319,302314,248353,385596,297389,399900,322483,424665,361460,417727,370170,3436315,237210,226508,540430,508817,310189,269408,408983,351597,428012,371979,449687,393233,465390,419189,1110923,92860,88729,212076,200199,123184,97115,148643,116984,140420,119686,139643,118266,135785,117351,5164468,339543,325264,802873,759110,442830,384953,594816,495445,635425,536580,694833,605508,718368,647248,120382,222873,33775,36452,40952,43644,49452,122956,214437,62163,92410,73499,56076,66267,2475429,37.1,1415813,21.2,979199,14.7,952968,63.1,1499828,29.5
Texas,,,Not Adopted,48,2018,28243191,13900012,1216882,1117893,2774511,2429946,1397238,961857,1808499,1265329,1880074,1382686,1709836,1328315,1537409,1297110,14343179,1182801,1083776,2651156,2320941,1355022,979131,1829047,1336205,1941473,1468247,1786589,1418602,1658026,1403724,3417256,295624,279484,675004,622103,362979,264373,479864,354598,472931,379247,428702,350274,380074,328999,20802455,1709853,1562342,3882401,3383265,1964347,1387643,2585264,1841663,2741528,2033429,2574892,2033827,2458446,2087991,542925,980328,79541,108743,99162,103060,133297,533073,963394,127967,173786,153407,132594,173269,8200455,29,5119750,18.1,3661239,13,3171669,50.7,4970293,22.8
Utah,,,Adopted,49,2018,3135573,1574603,152045,141403,351499,321981,180427,155737,204851,170578,219375,188952,158241,141761,145374,133564,1560970,146811,137829,332639,309523,169965,152999,202874,174826,213840,187365,158199,140933,152682,139497,39507,4735,4192,10380,8586,6878,5543,5206,3252,5349,4251,2556,2437,2773,2742,2686612,245013,231841,570030,534675,292074,265210,341313,297426,368611,330165,274353,251278,269383,249944,33326,59498,6819,11769,11145,8916,8548,30140,51740,10060,19326,18787,8845,13893,666514,21.3,335265,10.7,215155,6.9,191561,42.4,469273,17.7
Vermont,,,Adopted,50,2018,620066,304978,18066,17834,45979,44933,31345,29615,33495,29855,33907,31184,39889,36333,46370,43775,315088,17622,17409,43172,42200,30101,28601,34158,32213,35585,34295,40614,39131,49198,47775,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,583531,33182,32737,80043,78891,56901,54005,62682,57569,65253,61417,77416,72427,92709,88921,7009,19319,5181,7799,6418,6687,8600,6252,17094,5893,8465,7578,9177,9454,252039,40.6,139093,22.4,102182,16.5,71891,77.2,177349,35
Virginia,,,Adopted,51,2018,8301038,4021624,310837,296344,708568,671467,376384,313726,491471,398304,514319,437929,526079,462958,518814,472157,4279414,292138,279294,680975,643845,380879,330611,512461,451333,558564,497011,564578,510901,572583,525277,1571291,110566,105940,282811,267168,154762,121068,207383,171577,202638,175790,204334,178775,206962,182209,5602057,370324,354576,857293,816742,482913,426022,646374,555224,697339,614472,752600,679146,791741,732058,93541,179357,20342,25808,24577,24622,30674,92231,173908,35953,60889,50214,35644,40261,2374305,28.6,1162259,14,724400,8.7,720582,56,1633603,23.7
Washington,,,Adopted,53,2018,7427599,3685003,287287,280211,605674,589165,331254,287502,511538,443649,496613,434690,461824,424592,465809,435542,3742596,265228,259311,596905,578925,315158,287538,502147,454588,492988,449095,460516,426626,490841,461306,282365,25446,25045,52188,50786,32342,27556,42415,36627,41392,35855,35110,32385,30005,27517,5556854,372305,363402,809134,788861,441053,399114,713048,639241,717690,653126,712242,666161,794035,748226,119993,236406,55497,80502,64709,57806,62029,111386,226523,76336,104057,77917,66218,71656,2669196,35.9,1537195,20.7,1159475,15.6,782155,69.3,1866211,29.9
West Virginia,,,Adopted,54,2018,1776965,875991,59145,56969,140501,135777,80709,70585,89544,75724,105922,93534,114360,102983,124362,115986,900974,53551,51875,134835,130311,73485,65868,93842,84717,107038,98068,115611,106520,132073,123391,62644,4411,4411,9807,9468,8224,7209,6115,4495,8069,6533,7420,7017,8263,7346,1657942,101455,97826,248261,239511,139744,123993,170576,150634,199483,179846,217575,198402,243669,227871,31489,63618,13994,19813,26029,20385,24578,28317,59575,19162,30882,30504,26318,29280,837247,47.1,476926,26.8,347197,19.5,346108,75.7,483506,37.3
Wisconsin,,,Not Adopted,55,2018,5740669,2840025,203868,196104,485668,467010,274021,243954,323853,281327,347110,315733,363731,341170,401023,381423,2900644,195890,189655,464796,446356,261766,241253,324223,295257,348144,323502,368215,347399,416926,398565,353993,37005,36588,81702,79957,39420,33240,48316,40399,44167,38647,39498,36030,35159,32891,4906402,309018,298383,742991,714413,435705,403065,528841,480079,588408,548794,646336,611676,747506,716362,68973,146022,26759,36306,35677,38855,44852,70029,133441,40942,62030,50220,46180,50912,1897156,33,981184,17.1,658930,11.5,609986,64.6,1269183,26.9
Wyoming,,,Not Adopted,56,2018,567008,285006,21283,19259,51288,47339,24009,20035,35150,27030,35899,30190,33541,28622,38721,34608,282002,20525,19336,48946,45984,23848,19575,32240,27742,34287,29070,32933,28389,40136,36475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,519248,36248,33650,89640,84166,42774,36073,60687,50240,64427,55125,60495,52499,74921,67952,5638,9795,922,2660,1784,1250,1887,5523,8540,2054,3142,2053,1690,3308,154902,27.3,70092,12.4,37329,6.6,39823,43.4,113938,24.3
Puerto Rico,,,,72,2018,3171580,1503544,79501,77310,248549,240467,153999,136889,161413,126248,184241,160139,196321,175080,194436,177771,1668036,74765,72510,238290,231916,154870,145218,169983,157955,208843,193330,222829,207795,230213,217197,397896,15393,14806,55856,54576,41600,37295,40979,33124,51423,43904,60170,53769,54804,49872,2062504,104035,101221,307197,297145,203166,186022,212767,185883,246798,224230,263343,241782,281990,263088,57095,145342,67710,72139,73671,79017,78724,51014,136658,83585,98184,96480,93446,104385,1963858,61.9,1398939,44.1,1119661,35.3,1421447,80,537489,38.8
Alabama,,,Not Adopted,1,2019,4822514,2311377,174599,169628,416025,400445,214999,171050,270474,203883,279778,227824,285720,247391,304173,273932,2511137,172150,167008,391618,377151,227301,193402,285105,239339,309452,266300,314280,274593,342001,310583,1290538,99822,96788,240221,233205,143477,113527,158936,121116,168829,141365,151023,130508,161127,145120,3276473,216611,210807,504645,485504,272808,232404,363734,299311,385116,326653,423049,371157,466128,423796,88825,171299,14102,16255,23032,26025,36957,86023,162897,29775,45947,42131,32352,51660,1796639,37.3,1002797,26,20.2,13.6,301337,60.6,1119327,30.5
Alaska,,,Adopted,2,2019,705772,359167,30603,27424,67971,61477,32386,24854,48011,37113,43357,36263,44974,38681,47777,41542,346605,31301,28281,60127,54961,29329,24521,48164,38134,45001,40260,41504,35832,46332,42052,19400,1418,1403,2806,2760,2161,1866,3777,3293,1779,1693,2472,2367,2732,2579,450906,33021,31127,68091,63402,33580,28495,61373,50098,59143,52708,58386,52698,67999,61926,12177,24222,4786,8267,5624,5652,8598,12669,21468,5674,9986,7539,5562,8428,248412,35.2,98749,26,20.4,16.2,26395,67.4,170494,29
Arizona,,,Adopted,4,2019,7165904,3527689,259201,237137,631259,569868,345057,276893,435466,345344,432449,355019,410894,345207,415983,370780,3638215,253745,234956,600077,540991,333231,277011,425899,361027,439849,377558,427924,367555,459936,413206,332465,27658,26333,68049,62718,40184,33835,48396,40556,44357,36795,37553,31940,34960,32461,5630806,372195,344637,897247,819442,495208,408137,638214,527755,669027,567156,664584,571116,733088,663148,106236,220396,56494,72860,62741,52810,65041,105517,204427,73130,92126,80360,65121,78931,2749973,38.4,1413075,24.5,23.2,15.7,512575,64.7,1830894,32.1
Arkansas,,,Adopted,5,2019,2962596,1435233,110043,105015,265759,248601,137077,112648,162513,130185,177965,145221,173890,151362,182152,168278,1527363,109987,104896,255122,239004,134930,117603,174383,148139,189235,167406,182602,162395,199290,186001,451059,39040,38392,88087,84094,53342,43705,51938,43691,58529,51689,52850,48331,53809,48978,2278931,153196,145157,370194,347198,190955,166086,258446,213587,275898,239167,279638,246788,311479,290568,59503,126104,23176,24355,27757,26063,36158,64557,126126,34713,49890,37578,34170,45182,1303079,44,613935,34,27.6,20.2,207518,69.8,782866,35.6
California,,,Adopted,6,2019,38997581,19236578,1443858,1408556,3346352,3215991,1861546,1615216,2693008,2272552,2603074,2254908,2430525,2140667,2299074,2116632,19761003,1391820,1351364,3223027,3095112,1812456,1632040,2602818,2340046,2607707,2347509,2492156,2248523,2451529,2273975,2187511,148046,144556,353122,344893,220474,201500,323525,284584,277459,256407,277228,261052,288474,273892,23194777,1595162,1552083,3670279,3525733,2044969,1811843,2967320,2596917,2975381,2643277,2906568,2608610,3055148,2842620,634795,1385843,411356,486153,421029,374874,412639,620513,1329165,502554,642125,549206,473951,519557,14748648,37.8,6099834,24.6,25,19.6,2055848,69.9,9827747,30.9
Colorado,,,Adopted,8,2019,5664199,2832999,202113,195346,480824,450618,263526,226619,413094,350724,397971,345107,350922,316699,344600,323394,2831200,194969,186328,453095,426153,254230,223289,384302,338410,388223,350147,345903,318242,361088,335276,228799,16853,15452,44258,41127,24596,21156,34453,29016,31721,28566,28477,26231,25566,24079,4750178,314330,302910,739298,697525,415911,364895,654021,570743,659648,586876,590271,543144,622970,583546,74182,146067,35203,51954,41197,33708,41403,67627,138301,42574,64840,55998,37989,44265,1785362,31.5,885809,18.2,19.1,13.1,321552,61.2,1286542,26.7
Connecticut,,,Adopted,9,2019,3514562,1710157,112608,109055,284055,272508,166162,150373,197458,169618,206992,180645,226520,207452,247188,233250,1804405,105902,102743,270649,262007,164850,154682,194697,177944,215047,197606,249098,232104,264239,252063,386975,28481,28041,69992,66755,45939,41993,53280,48147,50018,45168,51480,47513,47085,43618,2626823,141602,137302,373770,362956,229358,212882,267565,241912,292522,270090,362475,337446,422972,405556,44018,99515,36372,35882,29184,33210,35915,42777,96208,35832,51122,47226,45634,40150,1303408,37.1,648391,20.3,21.9,16.1,197548,75.8,907875,30.8
Delaware,,,Adopted,10,2019,956378,457933,33059,31801,75718,72497,40140,33874,53855,44472,53262,46316,55602,50636,62517,59596,498445,31245,29966,75377,70753,40378,37081,57232,51558,57670,53182,61886,57389,72694,69336,213280,15227,15076,39541,38170,21468,17278,27274,24067,26603,23869,28321,25446,27700,26030,648885,36963,35127,88526,83128,49689,45446,70672,62106,71692,64926,79067,72875,101160,97146,15729,30089,4612,10147,6890,8722,8141,12452,26723,7568,13873,10968,10438,10830,377598,39.5,206721,21.4,20,14.5,51475,68.3,268794,34.1
District of Columbia,,,Adopted,11,2019,696599,328206,27106,26703,41512,39996,36003,32112,67078,62975,52550,49707,36431,34310,32646,31283,368393,26257,25831,43614,43135,42133,40842,77416,75054,54763,54012,37361,35830,36629,35885,315255,24783,24472,49889,48726,30876,27576,48135,44443,37921,36035,35158,33129,40956,39681,296757,19279,19008,21838,21384,37676,36151,78174,76104,52529,51976,30786,29549,23567,22921,9934,19613,6427,9132,8420,8070,8058,9269,18992,9762,11834,10178,9874,11367,238129,34.2,91923,34.2,20.6,18,16986,74,147361,26.8
Florida,,,Not Adopted,12,2019,21156770,10251189,689528,656181,1595594,1462005,876058,664725,1195885,848252,1246055,944650,1294843,1037976,1354970,1167709,10905581,656019,617545,1538727,1401458,867433,699668,1211211,956584,1306159,1064216,1378066,1155225,1518422,1318414,3335611,265375,253079,634882,579109,357180,266535,447107,330658,435898,337060,406594,328752,387229,326396,15819158,881716,831974,2080336,1907311,1195482,953308,1688730,1279773,1836520,1461503,2026295,1671896,2291646,1999909,319616,604146,76026,82768,90880,99516,145425,309799,562517,105482,173621,149993,134487,169021,7780246,36.8,4782128,19.8,20.7,11.7,1825649,56.1,5425074,32.2
Georgia,,,Not Adopted,13,2019,10420412,5013505,404286,384166,964060,885501,486213,352352,599823,440079,643123,500494,659264,543143,606360,529579,5406907,371115,346297,922530,848891,502767,395195,650365,521079,720213,588637,718700,614972,678943,593985,3308400,254876,242938,643891,604873,346635,255170,433767,328303,445665,368702,438257,373437,382715,334607,6033056,402965,377893,983336,902753,527691,413215,675278,532953,753265,602521,812922,689242,817404,722455,178609,341082,26279,37549,33260,43152,59789,162318,338716,55154,83620,63143,58239,76858,3272462,31.4,1705477,20.3,18.1,12.2,576436,54.1,2126393,25.9
Hawaii,,,Adopted,15,2019,1358715,661957,53402,52172,108860,105386,49865,44860,78253,71636,83361,77915,80981,77106,86604,82667,696758,49941,49302,102850,99370,54064,49088,79714,74232,91411,87029,83377,80672,90440,86753,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,311063,19886,19468,33740,33008,21041,18106,35487,32673,42442,39431,36183,34232,47635,45183,18873,33659,6851,12063,11414,10375,9580,18179,33391,10713,14228,12675,9240,11507,493029,36.3,275116,18.6,17.6,12.7,63842,67.7,370520,31.7
Idaho,,,Adopted,16,2019,1764911,881784,73120,70665,169872,160535,83667,67060,101399,78251,110903,92327,100374,85689,107233,94518,883127,70541,67815,161319,152268,76691,63132,104846,83357,110404,92011,99707,86444,110965,96949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1578786,123562,118662,285523,269738,137505,112684,178611,141072,200408,168712,180177,157144,200667,178168,33440,56149,5808,8669,7830,6886,7839,27751,54557,7964,12006,8797,8638,9885,573254,32.5,316938,17.3,17.1,11.3,96325,52.1,401379,28.1
Illinois,,,Adopted,17,2019,12488377,6092054,456088,440451,1059361,1015568,576055,494176,766530,648751,797381,692619,775785,693072,789084,735162,6396323,436459,423431,1029617,982036,566813,513117,776745,698229,819059,734962,808072,738264,849650,790261,1726262,128688,124273,319639,300943,181344,150692,226295,193753,213823,189035,211246,188715,214719,196094,8933626,587757,568060,1380799,1326732,760013,686230,1050026,931743,1133899,1021994,1143819,1049806,1269951,1196456,174087,353324,69848,87863,84658,82772,100067,171649,343107,107848,148187,129640,104102,113504,4183954,33.5,2147220,20,20.4,14.4,721698,67,2748758,26.8
Indiana,,,Adopted,18,2019,6631529,3253446,257570,239628,596969,554110,328386,276525,383196,315941,395783,339971,403274,358742,422945,388000,3378083,240262,223915,569048,527413,316767,282742,393255,342933,415217,365658,413975,379667,447204,415074,622816,53123,48122,134040,126614,68711,56754,80343,66457,77371,65680,75189,67085,67852,61934,5495386,384182,358357,902110,837485,504915,442424,623889,535605,668637,586676,688940,627425,768361,711530,101228,181348,31951,40775,42300,40699,50178,89047,172434,54043,79745,65384,51103,66980,2231897,33.7,1196696,21.9,19.4,13.2,394976,61.8,1456958,27.5
Iowa,,,Adopted,19,2019,3111914,1544521,122507,118664,269015,260913,156999,138953,176167,154909,196616,177418,178649,166836,204304,194614,1567393,111269,107772,262531,255622,144589,136398,178082,165720,190512,178831,177933,168389,211236,201275,123927,14173,13031,28797,27374,14440,10837,21894,18645,16688,13490,11343,10055,9256,9190,2799361,199706,193929,456920,445274,257604,239093,307207,281527,344634,320266,327049,308498,392145,374351,50018,96731,21122,21426,21389,20488,25219,45132,85781,31661,41288,33195,24824,31689,1122704,36.1,586776,20.4,19.4,13.9,164758,68.6,756066,29.8
Kansas,,,Not Adopted,20,2019,2851831,1402033,111872,107023,264138,247855,144945,123132,158236,129843,176000,148703,161221,141694,178176,161781,1449798,109693,105241,253948,236496,135444,115758,168661,142701,177461,153541,161679,145034,190333,173338,157198,14193,13742,30195,26413,20616,18186,18693,14016,18979,16163,17241,14102,18694,15505,2390943,174641,168786,407830,385554,222690,191330,266414,227935,294632,256104,274819,248123,326275,300198,36146,74906,7728,9932,9694,9537,12153,36894,69675,13358,16511,15758,12716,17059,845308,29.6,507608,15.5,14.5,9.2,145696,50.3,590968,25.4
Kentucky,,,Adopted,21,2019,4384896,2143053,170573,163530,371517,354702,210360,183051,245100,210181,264648,231151,271391,249025,281269,267321,2241843,159121,152180,357375,343083,200813,181910,251374,226826,276534,253834,282153,261526,311154,294615,348827,26808,25984,67093,65202,39508,34740,41278,35384,41597,36070,42729,39158,45034,41818,3808566,267797,255311,600730,574577,345031,308039,428258,380051,469409,426168,489442,453640,534414,508614,81292,154462,43942,48347,47315,50487,55507,80725,149092,57181,70936,67868,60428,66789,1892662,43.2,898979,33.6,26.3,19.7,277333,75.9,1102223,33.4
Louisiana,,,Adopted,22,2019,4539690,2181930,181496,173531,411223,391353,203532,171356,256871,193144,279886,229815,252712,217786,277378,250887,2357760,171748,166400,384284,367429,204198,178367,295353,259789,304543,272427,278807,253028,314919,292397,1455226,122410,119249,298255,288895,153475,131141,184971,152427,182725,155838,160249,140343,171521,157077,2820313,200273,192931,435862,416191,228296,199948,328926,272437,366527,320924,340423,307644,399515,368806,101454,205150,51613,44837,44007,44558,54866,89807,188558,68879,93525,81268,60507,75575,2012905,44.3,848218,31.2,29.8,22.8,306185,73.9,1120054,33.8
Maine,,,Adopted,23,2019,1327623,646177,38161,36153,94683,89559,54380,45765,70444,58680,74740,64519,85422,73778,101464,92317,681446,37498,35181,91395,86181,50600,45136,75351,66618,77308,69686,89710,80129,108883,100080,21465,3162,3117,4895,4747,2963,2237,3011,2608,3202,3094,2261,2261,1105,740,1248381,67677,63651,168229,159438,95461,82834,134947,116974,142243,125443,164669,144846,203959,186635,13858,32674,7547,9341,9860,11079,14496,12943,32000,8305,16781,13984,12189,16776,513061,38.6,315077,22.9,18.1,11.3,86182,71.8,347434,32.1
Maryland,,,Adopted,24,2019,5945846,2854009,218543,212992,497846,478906,256152,231119,347677,297582,369076,324851,374238,347996,383247,360963,3091837,207246,202057,487100,468998,257875,237113,365727,329343,401567,369243,412108,388558,430331,411365,1790416,127553,123421,310703,299253,173934,160374,229730,201667,236640,218953,244381,230280,236431,225295,3243852,204009,199498,478434,465890,256892,240530,368165,339412,391506,363627,427997,410255,492233,472467,88656,159415,38704,42731,40878,45999,46677,72834,156777,48013,69211,64830,49764,57362,1990757,33.5,1018034,19.5,18,13.7,248919,70.4,1420331,27.9
Massachusetts,,,Adopted,25,2019,6820969,3302868,217492,214223,520113,512456,344107,323044,436589,401010,411224,388510,428726,410502,447514,434992,3518101,204565,201198,504077,496347,349654,336494,441074,422897,431033,417876,460654,449529,487445,475896,533569,44124,43195,97735,96191,58916,54135,80229,72111,73233,68728,65066,61699,58080,56065,5250896,284839,281224,722424,711716,505330,484027,627491,594483,614354,590859,701053,681161,791586,773657,84646,174890,63584,74967,68331,75711,72114,71971,166067,64215,106923,100808,88937,96218,2461014,36.1,1221010,21.8,19.7,15.2,299341,76.3,1753730,30.5
Michigan,,,Adopted,26,2019,9879486,4842064,344776,334125,817989,787858,473426,419319,579115,498746,570107,505060,604697,557467,673313,633462,5037422,337777,327213,779949,753331,456191,421502,573884,525152,588910,546299,634359,594915,715010,679081,1333374,109475,107025,248027,239746,141237,124897,182034,161037,155378,138936,165226,154057,156996,147497,7748404,485170,468843,1164327,1124068,689194,629406,862847,767708,895480,815806,987530,921715,1168246,1108575,145085,288088,79226,101603,88600,94963,105739,145519,271634,112183,150725,126255,106186,123734,3828692,38.8,1988482,24.2,20.4,15.6,451971,71.2,2477791,31.3
Minnesota,,,Adopted,27,2019,5580828,2769600,215932,210410,485312,468585,244291,221829,344353,306419,362559,333810,335418,312995,372248,351781,2811228,205995,200457,471144,456544,239297,223663,339558,314509,359781,337026,332827,317999,380191,362925,362172,41119,40338,91861,87494,35071,29980,56058,47558,52061,45721,37028,31517,28539,25445,4582288,308850,301272,702297,682973,373087,350655,524986,484222,582663,549253,568190,543784,684231,653185,76101,147224,31131,46295,39928,34169,43194,68360,138437,42014,70939,56173,43478,48044,1835153,32.9,955203,18.1,17.4,13.1,231390,70.3,1283388,27
Mississippi,,,Not Adopted,28,2019,2904609,1379022,110473,104403,265809,245791,139200,103828,143012,97769,170281,130679,166247,136367,177375,154428,1525587,106150,101902,262209,246832,136482,104968,171433,132671,195805,160820,186552,157943,200086,177357,1098393,90811,88091,224627,217625,121568,85441,121364,86879,147903,117913,130920,105026,130903,114348,1689736,111026,105619,270023,249311,143025,115900,178632,134432,204115,163533,210950,181890,236833,209912,61704,125099,13448,10955,16295,18871,27180,59773,131861,23546,30900,31002,23407,35580,1145082,39.4,573317,27,24,17.3,184768,60.6,636205,31.1
Missouri,,,Adopted,29,2019,6020665,2929689,223384,209670,516955,483896,272237,213734,355212,284651,361496,303851,351174,305338,395828,356734,3090976,217704,202016,488511,456286,271087,224548,369531,315428,376496,327025,369602,327479,429267,389328,676920,56196,54462,133802,127155,67406,48111,94468,76672,81488,68986,79404,66869,83530,73494,4937773,338095,313718,769146,719241,427181,350812,574060,477799,604168,519087,600002,532271,709719,644818,78855,158724,15659,24107,21398,27464,32988,82107,146667,25579,45174,39837,35342,46509,1941045,32.2,1176229,20.1,17.6,10.4,415092,56,1273953,26.6
Montana,,,Adopted,30,2019,1053646,527468,36580,34571,87811,81355,50452,44157,57845,48266,67312,58444,57245,49611,72637,65414,526178,32434,30556,84918,80227,43983,39248,60331,54645,62645,55691,58580,51942,77673,69680,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,928843,55727,53636,139724,133375,81561,73482,102651,90445,113629,101975,104391,93255,138475,126193,17744,34910,8303,10089,9674,6436,9672,13847,34617,10291,14077,11869,7634,11744,428101,40.6,224014,22.8,22.5,15.3,70352,68,288951,34.3
Nebraska,,,Adopted,31,2019,1904211,947663,81850,77960,176693,167063,91971,76471,113562,95206,119822,105564,108822,96873,118084,106088,956548,76140,71470,167411,157207,88733,79016,113163,98599,119017,106921,105207,94978,122746,112350,91373,9879,9096,20236,18786,10948,7139,14195,10019,11983,9558,9092,7523,8254,7061,1644004,126574,121655,278532,265507,149358,133419,188673,164166,206124,185746,186801,168861,222672,202871,25451,47441,4227,6771,6983,5722,7623,23300,39850,7607,13310,9091,7580,9876,538914,28.3,325697,13.4,14.4,8.8,104077,53.6,368320,23.5
Nevada,,,Adopted,32,2019,3043419,1516096,114003,108359,255876,233006,128239,103796,200599,159171,201188,163970,197279,164770,187078,165921,1527323,109330,101027,245469,224300,125274,105892,196576,165444,200919,168490,194562,170857,193259,173269,287956,25515,24946,52681,50233,30095,24967,42691,36498,38996,34831,34463,32264,29869,27902,1966970,126357,119821,290576,268104,145483,121086,241835,201233,246685,206807,260315,224091,274693,246059,42633,81170,15193,23992,19457,21213,23539,39348,74622,22560,34143,28601,24936,31624,1028081,33.8,531159,23.8,21,13.6,214780,58.6,692484,28.1
New Hampshire,,,Adopted,33,2019,1343337,662136,39746,38519,100685,97598,59739,53004,78395,65132,77273,68479,89481,82636,104591,98204,681201,37880,36862,98577,93733,57581,53109,74179,66193,79398,72111,91430,84716,108935,104040,20965,1586,1278,4226,4226,2518,2139,2875,1961,3506,2873,2508,2333,1903,1880,1244232,68722,66900,177054,170523,106562,96505,138361,120159,139576,125737,170614,157996,204190,193417,12231,27383,4899,9831,6374,5770,7868,12545,25657,8435,12170,10480,7929,8906,431143,32.1,271114,16,16.2,9.9,81931,70.6,321435,27.6
New Jersey,,,Adopted,34,2019,8775976,4269899,315083,302728,728082,694134,381913,326968,503830,417959,555877,472006,578818,519316,582772,539442,4506077,298458,289216,699954,667378,368549,328347,509887,449278,573745,508421,611994,559061,630733,588178,1167177,85165,81707,199654,186630,117039,100168,153939,130456,153922,133517,161001,143621,148787,135429,5903476,372707,360601,885905,851584,474817,426506,633968,552263,701783,617934,804103,741047,901174,848315,108978,221018,51281,54444,51999,55925,60773,101640,201452,63378,84509,78756,71448,74678,2777669,31.7,1540209,17.1,18.3,12.5,502322,66.8,1960867,26.1
New Mexico,,,Adopted,35,2019,2058918,1006092,73326,70774,184436,171194,95045,74720,118278,97030,124868,101274,111997,93243,127811,113948,1052826,68851,65890,174953,164871,92517,77456,122725,108291,128246,110284,119568,105727,143147,129222,45673,3726,3663,9908,9432,5417,3929,5389,5303,5521,4357,4442,3984,6168,5863,1525431,98192,94596,251987,237742,128336,109299,170353,149335,181487,157012,170738,149736,209826,191536,45973,99403,29729,32888,30132,22312,30433,43483,95176,37337,48867,40375,30709,36467,1031497,50.1,421672,33.7,32.1,25.3,133810,75,626684,41.4
New York,,,Adopted,36,2019,19212803,9289925,678308,664079,1501021,1462296,890231,814594,1253779,1094234,1169956,1043140,1180753,1087072,1229039,1161073,9922878,653920,640853,1431170,1396396,890951,839836,1283735,1183095,1229595,1148432,1268511,1199844,1351406,1296284,3012511,220699,215677,507057,494016,304119,279661,424793,377742,378051,350918,387928,361673,384847,364994,12155906,769533,753689,1708463,1669616,1049498,989006,1496570,1382192,1449290,1356936,1542787,1470271,1764624,1701586,304941,605882,208812,247880,211761,216520,243186,282541,560085,224689,331361,295484,273569,293127,7610922,39.6,3471241,26.3,23.7,18.6,954522,76.2,4878197,31.6
North Carolina,,,Adopted,37,2019,10281062,4928405,369468,352255,876428,820238,464605,372423,570743,427897,612737,477804,648708,544766,635459,566747,5352657,348033,331730,860806,808984,468555,395631,632974,519247,673327,565130,696269,600975,711077,640106,2197417,155479,151349,412022,393878,222250,180874,278735,213115,272421,226102,283955,240240,280205,248575,7010251,443226,421798,1060339,998083,589830,497733,781366,632103,851528,703252,937555,815029,988885,898463,170705,342431,43005,42863,42517,48658,65708,162602,333163,70320,98922,79835,60647,84754,3586978,34.9,1943472,21.5,19.4,13.1,611723,59.4,2311022,28.7
North Dakota,,,Adopted,38,2019,744172,376403,31696,28531,64088,58567,43102,39387,50731,44884,49524,44820,38036,34667,47156,44448,367769,28727,26941,62618,58556,37854,35375,47540,42173,45215,42425,37541,34937,46555,43911,21231,1495,996,4424,3388,3652,2643,5185,3770,3958,3092,982,914,895,686,638983,48984,46031,100706,94994,66461,63238,80496,73313,79605,75255,66942,62468,86832,83070,6854,12330,3001,4237,3058,2489,4515,6278,12550,3989,5202,6069,3605,3716,202182,27.2,122416,14.3,12,7.8,29388,55.5,135517,22
Ohio,,,Adopted,39,2019,11514951,5621169,428369,409436,972295,920891,527131,463002,673388,574086,676230,598320,704307,647299,764480,714459,5893782,394731,377090,940655,897604,521159,476204,680584,613891,703790,645292,730110,681736,824160,773819,1419755,118426,114426,280258,266759,149861,126915,184541,158391,173200,151852,166634,151670,173523,162340,9333493,608914,580844,1442965,1370984,806900,735183,1060379,936630,1107100,1006570,1192230,1110069,1363507,1280784,178968,319936,72829,103055,92698,89815,106403,162151,323865,113965,173433,137235,118877,126089,4283329,37.2,2203205,22.9,22,15.4,734090,72.5,2681654,29.2
Oklahoma,,,Adopted,40,2019,3871658,1897300,157212,146486,361108,328912,188851,139268,227134,164135,237025,182500,217782,175497,232014,197386,1974358,146655,134436,340193,309055,180869,141397,236420,180298,248090,200121,227495,186931,255007,220918,273650,23344,22214,53924,50775,31112,23476,37043,27665,35066,29094,29938,25416,32672,28103,2808583,196422,183417,449876,417217,246670,194271,325081,249816,352546,282787,335414,280726,385035,336569,74709,142910,10754,13822,15795,14446,19271,64362,135889,18906,29091,26282,17119,24083,1337323,34.5,723714,20,19.2,12.8,231889,54.8,854857,28.8
