,state,year,expansion,gender,age,percentage
259,Louisiana,2014,Adopted,male,55-64,0.122363494
260,Louisiana,2014,Adopted,female,< 6,0.530337227
261,Louisiana,2014,Adopted,female,6-17,0.473564446
262,Louisiana,2014,Adopted,female,18-24,0.190569026
263,Louisiana,2014,Adopted,female,25-34,0.157267911
264,Louisiana,2014,Adopted,female,35-44,0.130782335
265,Louisiana,2014,Adopted,female,45-54,0.128803301
266,Louisiana,2014,Adopted,female,55-64,0.141041563
267,Maine,2014,Adopted,male,< 6,0.43941587
268,Maine,2014,Adopted,male,6-17,0.383246923
269,Maine,2014,Adopted,male,18-24,0.150174539
270,Maine,2014,Adopted,male,25-34,0.167863666
271,Maine,2014,Adopted,male,35-44,0.162576768
272,Maine,2014,Adopted,male,45-54,0.126006454
273,Maine,2014,Adopted,male,55-64,0.122572152
274,Maine,2014,Adopted,female,< 6,0.482044199
275,Maine,2014,Adopted,female,6-17,0.345209564
276,Maine,2014,Adopted,female,18-24,0.221957212
277,Maine,2014,Adopted,female,25-34,0.29355377
278,Maine,2014,Adopted,female,35-44,0.198054998
279,Maine,2014,Adopted,female,45-54,0.134945695
280,Maine,2014,Adopted,female,55-64,0.128120672
281,Maryland,2014,Adopted,male,< 6,0.385596973
282,Maryland,2014,Adopted,male,6-17,0.312529792
283,Maryland,2014,Adopted,male,18-24,0.13484448
284,Maryland,2014,Adopted,male,25-34,0.106103612
285,Maryland,2014,Adopted,male,35-44,0.104065248
286,Maryland,2014,Adopted,male,45-54,0.096302195
287,Maryland,2014,Adopted,male,55-64,0.103539885
288,Maryland,2014,Adopted,female,< 6,0.380570554
289,Maryland,2014,Adopted,female,6-17,0.318399874
290,Maryland,2014,Adopted,female,18-24,0.211086065
291,Maryland,2014,Adopted,female,25-34,0.190327376
292,Maryland,2014,Adopted,female,35-44,0.136535488
293,Maryland,2014,Adopted,female,45-54,0.11912423
294,Maryland,2014,Adopted,female,55-64,0.102818201
295,Massachusetts,2014,Adopted,male,< 6,0.375309395
296,Massachusetts,2014,Adopted,male,6-17,0.31196777
297,Massachusetts,2014,Adopted,male,18-24,0.185926752
298,Massachusetts,2014,Adopted,male,25-34,0.206722726
299,Massachusetts,2014,Adopted,male,35-44,0.190089201
300,Massachusetts,2014,Adopted,male,45-54,0.184253237
301,Massachusetts,2014,Adopted,male,55-64,0.190101152
302,Massachusetts,2014,Adopted,female,< 6,0.365431709
303,Massachusetts,2014,Adopted,female,6-17,0.320287263
304,Massachusetts,2014,Adopted,female,18-24,0.216524648
305,Massachusetts,2014,Adopted,female,25-34,0.269748341
306,Massachusetts,2014,Adopted,female,35-44,0.233684397
307,Massachusetts,2014,Adopted,female,45-54,0.202117216
308,Massachusetts,2014,Adopted,female,55-64,0.204622873
309,Michigan,2014,Adopted,male,< 6,0.464108709
310,Michigan,2014,Adopted,male,6-17,0.367976489
311,Michigan,2014,Adopted,male,18-24,0.143290883
312,Michigan,2014,Adopted,male,25-34,0.133263019
313,Michigan,2014,Adopted,male,35-44,0.133364155
314,Michigan,2014,Adopted,male,45-54,0.125566217
315,Michigan,2014,Adopted,male,55-64,0.129270298
316,Michigan,2014,Adopted,female,< 6,0.454950061
317,Michigan,2014,Adopted,female,6-17,0.364157483
318,Michigan,2014,Adopted,female,18-24,0.21923703
319,Michigan,2014,Adopted,female,25-34,0.237951192
320,Michigan,2014,Adopted,female,35-44,0.186672674
321,Michigan,2014,Adopted,female,45-54,0.146361809
322,Michigan,2014,Adopted,female,55-64,0.139972686
323,Minnesota,2014,Adopted,male,< 6,0.318909815
324,Minnesota,2014,Adopted,male,6-17,0.277817228
325,Minnesota,2014,Adopted,male,18-24,0.134810454
326,Minnesota,2014,Adopted,male,25-34,0.140704108
327,Minnesota,2014,Adopted,male,35-44,0.120179762
328,Minnesota,2014,Adopted,male,45-54,0.110464265
329,Minnesota,2014,Adopted,male,55-64,0.102594216
330,Minnesota,2014,Adopted,female,< 6,0.311200989
331,Minnesota,2014,Adopted,female,6-17,0.268565223
332,Minnesota,2014,Adopted,female,18-24,0.182948238
333,Minnesota,2014,Adopted,female,25-34,0.206154281
334,Minnesota,2014,Adopted,female,35-44,0.149175538
335,Minnesota,2014,Adopted,female,45-54,0.122568253
336,Minnesota,2014,Adopted,female,55-64,0.114541557
337,Mississippi,2014,Not Adopted,male,< 6,0.56843504
338,Mississippi,2014,Not Adopted,male,6-17,0.469815675
339,Mississippi,2014,Not Adopted,male,18-24,0.13363613
340,Mississippi,2014,Not Adopted,male,25-34,0.0838799
341,Mississippi,2014,Not Adopted,male,35-44,0.095034189
342,Mississippi,2014,Not Adopted,male,45-54,0.104690998
343,Mississippi,2014,Not Adopted,male,55-64,0.152890692
344,Mississippi,2014,Not Adopted,female,< 6,0.554536559
345,Mississippi,2014,Not Adopted,female,6-17,0.483159935
346,Mississippi,2014,Not Adopted,female,18-24,0.209492776
347,Mississippi,2014,Not Adopted,female,25-34,0.189720446
348,Mississippi,2014,Not Adopted,female,35-44,0.148083579
349,Mississippi,2014,Not Adopted,female,45-54,0.142815688
350,Mississippi,2014,Not Adopted,female,55-64,0.176497296
351,Missouri,2014,Adopted,male,< 6,0.38008012
352,Missouri,2014,Adopted,male,6-17,0.288271535
353,Missouri,2014,Adopted,male,18-24,0.069239244
354,Missouri,2014,Adopted,male,25-34,0.058229502
355,Missouri,2014,Adopted,male,35-44,0.064988704
356,Missouri,2014,Adopted,male,45-54,0.080872749
357,Missouri,2014,Adopted,male,55-64,0.088641178
358,Missouri,2014,Adopted,female,< 6,0.368410294
359,Missouri,2014,Adopted,female,6-17,0.295779835
360,Missouri,2014,Adopted,female,18-24,0.126079138
361,Missouri,2014,Adopted,female,25-34,0.120152241
362,Missouri,2014,Adopted,female,35-44,0.09795426
363,Missouri,2014,Adopted,female,45-54,0.091032073
364,Missouri,2014,Adopted,female,55-64,0.09343396
365,Montana,2014,Adopted,male,< 6,0.4145223
366,Montana,2014,Adopted,male,6-17,0.347819841
367,Montana,2014,Adopted,male,18-24,0.065011702
368,Montana,2014,Adopted,male,25-34,0.070620893
369,Montana,2014,Adopted,male,35-44,0.064196833
370,Montana,2014,Adopted,male,45-54,0.070253086
371,Montana,2014,Adopted,male,55-64,0.065177235
372,Montana,2014,Adopted,female,< 6,0.417167836
373,Montana,2014,Adopted,female,6-17,0.354705979
374,Montana,2014,Adopted,female,18-24,0.098389056
375,Montana,2014,Adopted,female,25-34,0.110012802
376,Montana,2014,Adopted,female,35-44,0.080148098
377,Montana,2014,Adopted,female,45-54,0.093375356
378,Montana,2014,Adopted,female,55-64,0.090897087
379,Nebraska,2014,Adopted,male,< 6,0.327439579
380,Nebraska,2014,Adopted,male,6-17,0.273094327
381,Nebraska,2014,Adopted,male,18-24,0.073373356
382,Nebraska,2014,Adopted,male,25-34,0.048829307
383,Nebraska,2014,Adopted,male,35-44,0.044696423
384,Nebraska,2014,Adopted,male,45-54,0.047321773
385,Nebraska,2014,Adopted,male,55-64,0.06095142
386,Nebraska,2014,Adopted,female,< 6,0.34875805
387,Nebraska,2014,Adopted,female,6-17,0.278215363
388,Nebraska,2014,Adopted,female,18-24,0.108351772
389,Nebraska,2014,Adopted,female,25-34,0.108657251
390,Nebraska,2014,Adopted,female,35-44,0.079676435
391,Nebraska,2014,Adopted,female,45-54,0.065298381
392,Nebraska,2014,Adopted,female,55-64,0.077017692
393,Nevada,2014,Adopted,male,< 6,0.401137683
394,Nevada,2014,Adopted,male,6-17,0.298708451
395,Nevada,2014,Adopted,male,18-24,0.104902184
396,Nevada,2014,Adopted,male,25-34,0.088648801
397,Nevada,2014,Adopted,male,35-44,0.082069666
398,Nevada,2014,Adopted,male,45-54,0.082124668
399,Nevada,2014,Adopted,male,55-64,0.108721239
400,Nevada,2014,Adopted,female,< 6,0.410642227
401,Nevada,2014,Adopted,female,6-17,0.300633773
402,Nevada,2014,Adopted,female,18-24,0.147404063
403,Nevada,2014,Adopted,female,25-34,0.159109892
404,Nevada,2014,Adopted,female,35-44,0.117159208
405,Nevada,2014,Adopted,female,45-54,0.092587012
406,Nevada,2014,Adopted,female,55-64,0.121393024
407,New Hampshire,2014,Adopted,male,< 6,0.321749714
408,New Hampshire,2014,Adopted,male,6-17,0.255097237
409,New Hampshire,2014,Adopted,male,18-24,0.05993315
410,New Hampshire,2014,Adopted,male,25-34,0.070867185
411,New Hampshire,2014,Adopted,male,35-44,0.057232543
412,New Hampshire,2014,Adopted,male,45-54,0.048011762
413,New Hampshire,2014,Adopted,male,55-64,0.042038112
414,New Hampshire,2014,Adopted,female,< 6,0.363058976
415,New Hampshire,2014,Adopted,female,6-17,0.255007629
416,New Hampshire,2014,Adopted,female,18-24,0.07790584
417,New Hampshire,2014,Adopted,female,25-34,0.132837628
